field_sample_parent_id	field_sample_id	archive_sample_id	library_id	Master.Depth..cm.	Library.Prep.Method	ArchiveSampleDepthCalTape	time	basedir	basename	aggregate_stat_files
CAM2313M	CAM23-13	LV3006006403	LV7008960937	170	single strand DNA Library Method	69	69	/projects/caeg/data/production/LV7/008/960/LV7008960937/20240724_BH5F2GDSX7	 Lib_LV7008960937	/projects/caeg/data/production/LV7/008/960/LV7008960937/20240724_BH5F2GDSX7/stats/metadmg/aggregate//Lib_LV7008960937_collapsed.stat.gz
CAM2313M	CAM23-13	LV3006006406	LV7008961125	149.5	single strand DNA Library Method	48.5	48.5	/projects/caeg/data/production/LV7/008/961/LV7008961125/20240724_BH5F2GDSX7	 Lib_LV7008961125	/projects/caeg/data/production/LV7/008/961/LV7008961125/20240724_BH5F2GDSX7/stats/metadmg/aggregate//Lib_LV7008961125_collapsed.stat.gz
CAM2313M	CAM23-13	LV3006006398	LV7008961126	181.5	single strand DNA Library Method	80.5	80.5	/projects/caeg/data/production/LV7/008/961/LV7008961126/20240724_BH5F2GDSX7	 Lib_LV7008961126	/projects/caeg/data/production/LV7/008/961/LV7008961126/20240724_BH5F2GDSX7/stats/metadmg/aggregate//Lib_LV7008961126_collapsed.stat.gz
CAM2313M	CAM23-13	LV3006006409	LV7008961177	168.5	single strand DNA Library Method	67.5	67.5	/projects/caeg/data/production/LV7/008/961/LV7008961177/20240724_BH5F2GDSX7	 Lib_LV7008961177	/projects/caeg/data/production/LV7/008/961/LV7008961177/20240724_BH5F2GDSX7/stats/metadmg/aggregate//Lib_LV7008961177_collapsed.stat.gz
CAM2313M	CAM23-13	LV3006006419	LV7008961181	146.5	single strand DNA Library Method	45.5	45.5	/projects/caeg/data/production/LV7/008/961/LV7008961181/20240724_BH5F2GDSX7	 Lib_LV7008961181	/projects/caeg/data/production/LV7/008/961/LV7008961181/20240724_BH5F2GDSX7/stats/metadmg/aggregate//Lib_LV7008961181_collapsed.stat.gz
CAM2313M	CAM23-13	LV3006006415	LV7008961183	167	single strand DNA Library Method	66	66	/projects/caeg/data/production/LV7/008/961/LV7008961183/20240724_BH5F2GDSX7	 Lib_LV7008961183	/projects/caeg/data/production/LV7/008/961/LV7008961183/20240724_BH5F2GDSX7/stats/metadmg/aggregate//Lib_LV7008961183_collapsed.stat.gz
CAM2313M	CAM23-13	LV3006007297	LV7009021824	114	single strand DNA Library Method	13	13	/projects/caeg/data/production/LV7/009/021/LV7009021824/20240704_BH5FCVDSX7	 Lib_LV7009021824	/projects/caeg/data/production/LV7/009/021/LV7009021824/20240704_BH5FCVDSX7/stats/metadmg/aggregate//Lib_LV7009021824_collapsed.stat.gz
CAM2313M	CAM23-13	LV3006007302	LV7009021866	118.5	single strand DNA Library Method	17.5	17.5	/projects/caeg/data/production/LV7/009/021/LV7009021866/20240704_BH5FCVDSX7	 Lib_LV7009021866	/projects/caeg/data/production/LV7/009/021/LV7009021866/20240704_BH5FCVDSX7/stats/metadmg/aggregate//Lib_LV7009021866_collapsed.stat.gz
CAM2313M	CAM23-13	LV3006007308	LV7009022707	117	single strand DNA Library Method	16	16	/projects/caeg/data/production/LV7/009/022/LV7009022707/20240704_BH5FCVDSX7	 Lib_LV7009022707	/projects/caeg/data/production/LV7/009/022/LV7009022707/20240704_BH5FCVDSX7/stats/metadmg/aggregate//Lib_LV7009022707_collapsed.stat.gz
CAM2313M	CAM23-13	LV3006006422	LV7009022733	153	single strand DNA Library Method	52	52	/projects/caeg/data/production/LV7/009/022/LV7009022733/20240724_BH5F2GDSX7	 Lib_LV7009022733	/projects/caeg/data/production/LV7/009/022/LV7009022733/20240724_BH5F2GDSX7/stats/metadmg/aggregate//Lib_LV7009022733_collapsed.stat.gz
CAM2313M	CAM23-13	LV3006006408	LV7009022754	162.5	single strand DNA Library Method	61.5	61.5	/projects/caeg/data/production/LV7/009/022/LV7009022754/20240724_BH5F2GDSX7	 Lib_LV7009022754	/projects/caeg/data/production/LV7/009/022/LV7009022754/20240724_BH5F2GDSX7/stats/metadmg/aggregate//Lib_LV7009022754_collapsed.stat.gz
CAM2313M	CAM23-13	LV3006007305	LV7009023730	134.5	single strand DNA Library Method	33.5	33.5	/projects/caeg/data/production/LV7/009/023/LV7009023730/20240704_BH5FCVDSX7	 Lib_LV7009023730	/projects/caeg/data/production/LV7/009/023/LV7009023730/20240704_BH5FCVDSX7/stats/metadmg/aggregate//Lib_LV7009023730_collapsed.stat.gz
CAM2313M	CAM23-13	LV3006007303	LV7009023755	112.5	single strand DNA Library Method	11.5	11.5	/projects/caeg/data/production/LV7/009/023/LV7009023755/20240704_BH5FCVDSX7	 Lib_LV7009023755	/projects/caeg/data/production/LV7/009/023/LV7009023755/20240704_BH5FCVDSX7/stats/metadmg/aggregate//Lib_LV7009023755_collapsed.stat.gz
CAM2313M	CAM23-13	LV3006007304	LV7009024246	103.5	single strand DNA Library Method	2.5	2.5	/projects/caeg/data/production/LV7/009/024/LV7009024246/20240704_BH5FCVDSX7	 Lib_LV7009024246	/projects/caeg/data/production/LV7/009/024/LV7009024246/20240704_BH5FCVDSX7/stats/metadmg/aggregate//Lib_LV7009024246_collapsed.stat.gz
CAM2313M	CAM23-13	LV3006007306	LV7009024536	128.5	single strand DNA Library Method	27.5	27.5	/projects/caeg/data/production/LV7/009/024/LV7009024536/20240704_BH5FCVDSX7	 Lib_LV7009024536	/projects/caeg/data/production/LV7/009/024/LV7009024536/20240704_BH5FCVDSX7/stats/metadmg/aggregate//Lib_LV7009024536_collapsed.stat.gz
CAM2313M	CAM23-13	LV3006006425	LV7009024562	171.5	single strand DNA Library Method	70.5	70.5	/projects/caeg/data/production/LV7/009/024/LV7009024562/20240724_BH5F2GDSX7	 Lib_LV7009024562	/projects/caeg/data/production/LV7/009/024/LV7009024562/20240724_BH5F2GDSX7/stats/metadmg/aggregate//Lib_LV7009024562_collapsed.stat.gz
CAM2313M	CAM23-13	LV3006006396	LV7009024574	184	single strand DNA Library Method	83	83	/projects/caeg/data/production/LV7/009/024/LV7009024574/20240724_BH5F2GDSX7	 Lib_LV7009024574	/projects/caeg/data/production/LV7/009/024/LV7009024574/20240724_BH5F2GDSX7/stats/metadmg/aggregate//Lib_LV7009024574_collapsed.stat.gz
CAM2313M	CAM23-13	LV3006006407	LV7009024910	156	single strand DNA Library Method	55	55	/projects/caeg/data/production/LV7/009/024/LV7009024910/20240724_BH5F2GDSX7	 Lib_LV7009024910	/projects/caeg/data/production/LV7/009/024/LV7009024910/20240724_BH5F2GDSX7/stats/metadmg/aggregate//Lib_LV7009024910_collapsed.stat.gz
CAM2313M	CAM23-13	LV3006007311	LV7009026424	132.5	single strand DNA Library Method	31.5	31.5	/projects/caeg/data/production/LV7/009/026/LV7009026424/20240704_BH5FCVDSX7	 Lib_LV7009026424	/projects/caeg/data/production/LV7/009/026/LV7009026424/20240704_BH5FCVDSX7/stats/metadmg/aggregate//Lib_LV7009026424_collapsed.stat.gz
CAM2313M	CAM23-13	LV3006007300	LV7009026551	130	single strand DNA Library Method	29	29	/projects/caeg/data/production/LV7/009/026/LV7009026551/20240704_BH5FCVDSX7	 Lib_LV7009026551	/projects/caeg/data/production/LV7/009/026/LV7009026551/20240704_BH5FCVDSX7/stats/metadmg/aggregate//Lib_LV7009026551_collapsed.stat.gz
CAM2313M	CAM23-13	LV3006007316	LV7009026552	107	single strand DNA Library Method	6	6	/projects/caeg/data/production/LV7/009/026/LV7009026552/20240704_BH5FCVDSX7	 Lib_LV7009026552	/projects/caeg/data/production/LV7/009/026/LV7009026552/20240704_BH5FCVDSX7/stats/metadmg/aggregate//Lib_LV7009026552_collapsed.stat.gz
CAM2313M	CAM23-13	LV3006006423	LV7009026578	159.5	single strand DNA Library Method	58.5	58.5	/projects/caeg/data/production/LV7/009/026/LV7009026578/20240724_BH5F2GDSX7	 Lib_LV7009026578	/projects/caeg/data/production/LV7/009/026/LV7009026578/20240724_BH5F2GDSX7/stats/metadmg/aggregate//Lib_LV7009026578_collapsed.stat.gz
CAM2313M	CAM23-13	LV3006007309	LV7009026634	109.5	single strand DNA Library Method	8.5	8.5	/projects/caeg/data/production/LV7/009/026/LV7009026634/20240704_BH5FCVDSX7	 Lib_LV7009026634	/projects/caeg/data/production/LV7/009/026/LV7009026634/20240704_BH5FCVDSX7/stats/metadmg/aggregate//Lib_LV7009026634_collapsed.stat.gz
CAM2313M	CAM23-13	LV3006006385	LV7009027357	178	single strand DNA Library Method	77	77	/projects/caeg/data/production/LV7/009/027/LV7009027357/20240724_BH5F2GDSX7	 Lib_LV7009027357	/projects/caeg/data/production/LV7/009/027/LV7009027357/20240724_BH5F2GDSX7/stats/metadmg/aggregate//Lib_LV7009027357_collapsed.stat.gz
CAM2313M	CAM23-13	LV3006006400	LV7009027833	151.5	single strand DNA Library Method	50.5	50.5	/projects/caeg/data/production/LV7/009/027/LV7009027833/20240724_BH5F2GDSX7	 Lib_LV7009027833	/projects/caeg/data/production/LV7/009/027/LV7009027833/20240724_BH5F2GDSX7/stats/metadmg/aggregate//Lib_LV7009027833_collapsed.stat.gz
CAM2313M	CAM23-13	LV3006007315	LV7009027860	108.5	single strand DNA Library Method	7.5	7.5	/projects/caeg/data/production/LV7/009/027/LV7009027860/20240704_BH5FCVDSX7	 Lib_LV7009027860	/projects/caeg/data/production/LV7/009/027/LV7009027860/20240704_BH5FCVDSX7/stats/metadmg/aggregate//Lib_LV7009027860_collapsed.stat.gz
CAM2313M	CAM23-13	LV3006006418	LV7009027886	139.5	single strand DNA Library Method	38.5	38.5	/projects/caeg/data/production/LV7/009/027/LV7009027886/20240704_BH5FCVDSX7	 Lib_LV7009027886	/projects/caeg/data/production/LV7/009/027/LV7009027886/20240704_BH5FCVDSX7/stats/metadmg/aggregate//Lib_LV7009027886_collapsed.stat.gz
CAM2313M	CAM23-13	LV3006006416	LV7009027909	173	single strand DNA Library Method	72	72	/projects/caeg/data/production/LV7/009/027/LV7009027909/20240724_BH5F2GDSX7	 Lib_LV7009027909	/projects/caeg/data/production/LV7/009/027/LV7009027909/20240724_BH5F2GDSX7/stats/metadmg/aggregate//Lib_LV7009027909_collapsed.stat.gz
