field_sample_parent_id	field_sample_id	archive_sample_id	library_id	Master.Depth..cm.	Library.Prep.Method	ArchiveSampleDepthCalTape	time	basedir	basename	aggregate_stat_files
CAM2208M	CAM22-08	LV3005272708	LV7009026459	NA	double strand DNA Library Method	117.5	117.5	/projects/caeg/data/production/LV7/009/026/LV7009026459/20230927_AHNLW5DSX5	 Lib_LV7009026459	/projects/caeg/data/production/LV7/009/026/LV7009026459/20230927_AHNLW5DSX5/stats/metadmg/aggregate//Lib_LV7009026459_collapsed.stat.gz
CAM2208M	CAM22-08	LV3005273269	LV7009026460	NA	double strand DNA Library Method	106.5	106.5	/projects/caeg/data/production/LV7/009/026/LV7009026460/20230927_AHNLW5DSX5	 Lib_LV7009026460	/projects/caeg/data/production/LV7/009/026/LV7009026460/20230927_AHNLW5DSX5/stats/metadmg/aggregate//Lib_LV7009026460_collapsed.stat.gz
CAM2208M	CAM22-08	LV3005273281	LV7009026462	NA	double strand DNA Library Method	85	85	/projects/caeg/data/production/LV7/009/026/LV7009026462/20230927_AHNLW5DSX5	 Lib_LV7009026462	/projects/caeg/data/production/LV7/009/026/LV7009026462/20230927_AHNLW5DSX5/stats/metadmg/aggregate//Lib_LV7009026462_collapsed.stat.gz
CAM2208M	CAM22-08	LV3005273282	LV7009026463	NA	double strand DNA Library Method	74.5	74.5	/projects/caeg/data/production/LV7/009/026/LV7009026463/20230927_AHNLW5DSX5	 Lib_LV7009026463	/projects/caeg/data/production/LV7/009/026/LV7009026463/20230927_AHNLW5DSX5/stats/metadmg/aggregate//Lib_LV7009026463_collapsed.stat.gz
CAM2208M	CAM22-08	LV3005273244	LV7009026464	NA	double strand DNA Library Method	63.5	63.5	/projects/caeg/data/production/LV7/009/026/LV7009026464/20230927_AHNLW5DSX5	 Lib_LV7009026464	/projects/caeg/data/production/LV7/009/026/LV7009026464/20230927_AHNLW5DSX5/stats/metadmg/aggregate//Lib_LV7009026464_collapsed.stat.gz
CAM2208M	CAM22-08	LV3005272702	LV7009026471	NA	double strand DNA Library Method	119	119	/projects/caeg/data/production/LV7/009/026/LV7009026471/20230927_AHNLW5DSX5	 Lib_LV7009026471	/projects/caeg/data/production/LV7/009/026/LV7009026471/20230927_AHNLW5DSX5/stats/metadmg/aggregate//Lib_LV7009026471_collapsed.stat.gz
CAM2208M	CAM22-08	LV3005273280	LV7009026472	NA	double strand DNA Library Method	108	108	/projects/caeg/data/production/LV7/009/026/LV7009026472/20230927_AHNLW5DSX5	 Lib_LV7009026472	/projects/caeg/data/production/LV7/009/026/LV7009026472/20230927_AHNLW5DSX5/stats/metadmg/aggregate//Lib_LV7009026472_collapsed.stat.gz
CAM2208M	CAM22-08	LV3005273263	LV7009026473	NA	double strand DNA Library Method	98	98	/projects/caeg/data/production/LV7/009/026/LV7009026473/20230927_AHNLW5DSX5	 Lib_LV7009026473	/projects/caeg/data/production/LV7/009/026/LV7009026473/20230927_AHNLW5DSX5/stats/metadmg/aggregate//Lib_LV7009026473_collapsed.stat.gz
CAM2208M	CAM22-08	LV3005273255	LV7009026474	NA	double strand DNA Library Method	86.5	86.5	/projects/caeg/data/production/LV7/009/026/LV7009026474/20230927_AHNLW5DSX5	 Lib_LV7009026474	/projects/caeg/data/production/LV7/009/026/LV7009026474/20230927_AHNLW5DSX5/stats/metadmg/aggregate//Lib_LV7009026474_collapsed.stat.gz
CAM2208M	CAM22-08	LV3005273258	LV7009026475	NA	double strand DNA Library Method	76	76	/projects/caeg/data/production/LV7/009/026/LV7009026475/20230927_AHNLW5DSX5	 Lib_LV7009026475	/projects/caeg/data/production/LV7/009/026/LV7009026475/20230927_AHNLW5DSX5/stats/metadmg/aggregate//Lib_LV7009026475_collapsed.stat.gz
